id,host_id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,amenities,price_nok,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,is_shared_bathroom,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,response_time_a few days or more,response_time_no information,response_time_within a day,response_time_within a few hours,response_time_within an hour,located_in_Alna,located_in_Bjerke,located_in_Frogner,located_in_Gamle Oslo,located_in_Grorud,located_in_Grünerløkka,located_in_Marka,located_in_Nordre Aker,located_in_Nordstrand,located_in_Sagene,located_in_Sentrum,located_in_St. Hanshaugen,located_in_Stovner,located_in_Søndre Nordstrand,located_in_Ullern,located_in_Vestre Aker,located_in_Østensjø,missing_rating_review_data
386879,1935720,2012-03-16,0.0,0.0,0,1,1,1,1,59.92223,10.74946,4,1.0,2.0,3.0,"[""Kitchen"", ""Cooking basics"", ""Heating"", ""Patio or balcony"", ""Elevator"", ""Hair dryer"", ""Stove"", ""Smoke alarm"", ""TV"", ""Building staff"", ""Pets allowed"", ""Dryer"", ""Dishwasher"", ""Shampoo"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Wifi"", ""Single level home"", ""Refrigerator"", ""Hangers"", ""Essentials"", ""Washer"", ""Long term stays allowed"", ""Iron"", ""Dishes and silverware"", ""Oven"", ""Self check-in""]",1067.0,90,90,90,90,90,90,90.0,90.0,1,29,59,89,364,44,0,0,2012-04-05,2018-12-15,4.74,4.61,4.63,4.73,4.88,4.76,4.61,0,1,1,0,0,0.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
397657,1986686,2012-03-22,1.0,0.71,0,1,1,1,1,59.92634,10.75088,2,1.0,1.0,1.0,"[""Washer"", ""Kitchen"", ""Heating"", ""TV with standard cable"", ""Dryer"", ""Hair dryer"", ""Gym"", ""Smoke alarm""]",1000.0,3,30,1,3,30,30,3.0,30.0,1,0,0,0,15,21,4,0,2015-07-20,2024-05-20,4.57,4.57,4.57,4.62,4.67,4.81,4.57,0,1,1,0,0,0.19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
405953,2023264,2012-03-28,0.0,0.0,0,1,1,1,1,59.92009,10.76796,6,1.0,3.0,3.0,"[""Kitchen"", ""Cooking basics"", ""Ethernet connection"", ""Heating"", ""First aid kit"", ""Patio or balcony"", ""Hair dryer"", ""Smoke alarm"", ""Stove"", ""Dryer"", ""Dishwasher"", ""Shampoo"", ""Dedicated workspace"", ""Coffee maker"", ""Wifi"", ""Extra pillows and blankets"", ""Refrigerator"", ""Backyard"", ""Hangers"", ""Oven"", ""Indoor fireplace"", ""Essentials"", ""Washer"", ""Hot water"", ""Bed linens"", ""TV with standard cable"", ""Iron"", ""Dishes and silverware"", ""Private entrance"", ""Fire extinguisher""]",5000.0,4,21,4,4,1125,1125,4.0,1125.0,1,29,42,42,282,8,0,0,2017-07-23,2022-07-21,5.0,5.0,4.88,4.75,4.88,4.75,4.75,0,1,1,0,0,0.09,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500008,2381047,2012-05-15,0.0,0.0,0,1,3,1,1,59.88523,10.76879,2,1.0,1.0,1.0,"[""Kitchen"", ""Cooking basics"", ""Ethernet connection"", ""Heating"", ""First aid kit"", ""Hair dryer"", ""Smoke alarm"", ""TV"", ""Stove"", ""Dryer"", ""Dishwasher"", ""Shampoo"", ""Coffee maker"", ""Wifi"", ""Single level home"", ""Extra pillows and blankets"", ""Refrigerator"", ""Backyard"", ""Hangers"", ""Oven"", ""Self check-in"", ""Essentials"", ""Washer"", ""EV charger"", ""Long term stays allowed"", ""Hot water"", ""Bed linens"", ""Free parking on premises"", ""Dishes and silverware"", ""Lockbox"", ""Private entrance"", ""Fire extinguisher"", ""Shower gel"", ""Microwave""]",884.0,2,90,2,2,90,90,2.0,90.0,1,0,0,0,265,104,0,0,2012-08-05,2019-11-08,4.74,4.8,4.84,4.87,4.91,4.58,4.74,0,1,1,0,0,0.72,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
503782,2484478,2012-05-28,1.0,1.0,1,1,1,1,1,59.92428,10.75828,4,1.0,3.0,5.0,"[""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Wine glasses"", ""Heating"", ""First aid kit"", ""Shared backyard \u2013 Not fully fenced"", ""IKEA refrigerator"", ""Mosquito net"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""IKEA oven"", ""Beach essentials"", ""BBQ grill: charcoal"", ""Mini golf"", ""Safe"", ""Toaster"", ""Cleaning products"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Dishwasher"", ""Shampoo"", ""Baking sheet"", ""Room-darkening shades"", ""49 inch TV"", ""Wifi"", ""Outdoor playground"", ""Freezer"", ""Coffee maker: drip coffee maker"", ""Body soap"", ""Other induction stove"", ""Outdoor dining area"", ""Dining table"", ""Essentials"", ""Washer"", ""Window guards"", ""Long term stays allowed"", ""Hot water"", ""Laundromat nearby"", ""Bed linens"", ""Conditioner"", ""Iron"", ""Paid street parking off premises"", ""Dishes and silverware"", ""Fire extinguisher"", ""Books and reading material"", ""Board games""]",1950.0,4,30,4,4,30,30,4.0,30.0,1,23,26,26,26,28,10,0,2013-05-21,2023-09-24,4.67,4.71,4.29,4.75,4.93,4.89,4.54,0,1,1,0,0,0.21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
590834,2914938,2012-07-12,1.0,1.0,0,1,1,1,1,59.96531,10.77889,2,1.0,1.0,1.0,"[""Essentials"", ""Washer"", ""Long term stays allowed"", ""Hot water"", ""Kitchen"", ""Heating"", ""First aid kit"", ""Iron"", ""Free parking on premises"", ""Dryer"", ""Wifi"", ""Free street parking"", ""Fire extinguisher"", ""Hangers"", ""Smoke alarm""]",740.0,30,200,30,30,200,200,30.0,200.0,1,30,60,64,321,8,1,0,2012-08-16,2023-12-23,4.63,4.63,4.38,5.0,5.0,4.63,4.5,0,1,1,0,0,0.06,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
613873,1272535,2011-10-10,1.0,0.43,0,1,1,1,0,59.92132,10.75942,2,1.0,1.0,1.0,"[""Kitchen"", ""Cooking basics"", ""Heating"", ""Smoke alarm"", ""TV"", ""Smoking allowed"", ""Dryer"", ""Drying rack for clothing"", ""Wifi"", ""Refrigerator"", ""Host greets you"", ""Hangers"", ""Indoor fireplace"", ""Essentials"", ""Washer"", ""Hot water"", ""Bed linens"", ""Iron"", ""Dishes and silverware"", ""Private entrance"", ""Fire extinguisher""]",1600.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,23,298,25,5,1,2013-06-08,2024-06-16,4.88,4.92,4.6,5.0,5.0,4.96,4.84,0,1,1,0,0,0.19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
724117,2425978,2012-05-21,1.0,0.33,0,1,1,1,1,59.93254342773419,10.739992917771067,4,1.0,3.0,3.0,"[""Paid parking on premises"", ""Kitchen"", ""Cooking basics"", ""Wine glasses"", ""Bosch induction stove"", ""First aid kit"", ""Hair dryer"", ""City skyline view"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""Safe"", ""Cleaning products"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dedicated workspace"", ""Coffee maker"", ""Children\u2019s books and toys"", ""Wifi"", ""Outdoor playground"", ""Refrigerator"", ""Host greets you"", ""HDTV with Apple TV"", ""Bathtub"", ""Radiant heating"", ""Outdoor dining area"", ""Children\u2019s dinnerware"", ""Dining table"", ""Essentials"", ""Exercise equipment"", ""Indoor fireplace: wood-burning"", ""Shared backyard \u2013 Fully fenced"", ""Hot water"", ""Bed linens"", ""Iron"", ""Paid street parking off premises"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Fire extinguisher""]",1700.0,2,30,2,2,30,30,2.0,30.0,1,12,15,15,195,2,2,0,2023-08-20,2023-12-27,4.5,5.0,4.0,4.5,5.0,4.5,4.5,0,1,1,0,0,0.19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
739069,3389744,2012-08-27,1.0,0.89,0,1,1,1,1,59.9112,10.74484,2,1.0,1.0,1.0,"[""Kitchen"", ""Cooking basics"", ""Wine glasses"", ""Heating"", ""First aid kit"", ""Patio or balcony"", ""Shared sauna"", ""Elevator"", ""Paid parking garage off premises"", ""Hair dryer"", ""Smoke alarm"", ""Beach essentials"", ""Exercise equipment: free weights, yoga mat"", ""Hot water kettle"", ""Coffee"", ""Cleaning products"", ""Dryer"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishwasher"", ""Shampoo"", ""Dedicated workspace"", ""Coffee maker"", ""Shared beach access"", ""Gym"", ""Wifi"", ""Freezer"", ""Sun loungers"", ""Extra pillows and blankets"", ""Refrigerator"", ""Host greets you"", ""Backyard"", ""Luggage dropoff allowed"", ""Hangers"", ""Oven"", ""Indoor fireplace"", ""Dining table"", ""Essentials"", ""Washer"", ""Bluetooth sound system"", ""Long term stays allowed"", ""Hot water"", ""Bed linens"", ""Iron"", ""Dishes and silverware"", ""Outdoor furniture"", ""Blender"", ""Fire extinguisher"", ""Books and reading material"", ""Shower gel"", ""HDTV with Netflix, HBO Max"", ""Board games""]",849.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,0,23,14,8,4,2012-12-01,2024-06-27,4.93,4.93,4.93,4.93,4.86,4.79,4.79,0,1,0,1,0,0.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
760266,3996622,2012-10-28,1.0,1.0,1,1,4,1,1,59.912159,10.760248,2,1.0,1.0,2.0,"[""Paid parking on premises"", ""Paid parking off premises"", ""Heating"", ""Elevator"", ""Hair dryer"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""BBQ grill"", ""Shampoo"", ""Dedicated workspace"", ""Wifi"", ""Single level home"", ""Host greets you"", ""Backyard"", ""Luggage dropoff allowed"", ""Hangers"", ""Essentials"", ""Lock on bedroom door"", ""Hot water"", ""Iron"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Outdoor furniture""]",843.0,1,3,1,1,1125,1125,1.0,1125.0,1,17,47,77,352,910,102,10,2012-12-15,2024-06-20,4.7,4.76,4.71,4.85,4.86,4.73,4.72,1,1,0,1,0,6.48,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761018,4011871,2012-10-30,1.0,0.97,1,2,2,1,1,59.91755,10.71428,2,1.0,1.0,1.0,"[""Fire extinguisher"", ""Paid parking on premises"", ""Kitchen"", ""Cooking basics"", ""Heating"", ""Hair dryer"", ""Stove"", ""Smoke alarm"", ""Dishwasher"", ""Shampoo"", ""Wifi"", ""Refrigerator"", ""Host greets you"", ""Luggage dropoff allowed"", ""Hangers"", ""Essentials"", ""Washer"", ""Lock on bedroom door"", ""Hot water"", ""Iron"", ""Dishes and silverware"", ""Oven""]",500.0,2,10,2,2,10,10,2.0,10.0,1,4,10,31,117,1161,108,13,2012-12-12,2024-06-25,4.88,4.91,4.8,4.89,4.93,4.92,4.87,0,1,0,1,0,8.26,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
